field_name,initialized_where,read_locations,write_locations,persistent_or_transient,checkpoint_relevant,science_relevant,rng_related,prediction_related,learning_related,evaluation_related,safe_to_group,notes
last_symbol_ranking,SequentialMemory.__init__:600,snapshot:711,"reset:691; restore:733; decode:2086",TRANSIENT_DIAGNOSTIC,YES,YES,NO,NO,NO,YES,YES,Last decoder ranking; list copy only.
previous_predicted_sources,SequentialMemory.__init__:601,"snapshot:712; provenance:2954; burst trace:3614","reset:692; restore:734; observe:2715-2718; advance:2753",TRANSIENT_CONTEXT,YES,YES,NO,YES,YES,YES,YES,Labels prior-context sources that came from prediction.
previous_burst_only_sources,SequentialMemory.__init__:602,"snapshot:713; provenance:2957; burst trace:3616","reset:693; restore:737; observe:2716-2719; advance:2754",TRANSIENT_CONTEXT,YES,YES,NO,YES,YES,YES,YES,Labels prior-context sources that came only from burst.
_diagnostic_sentence_index,SequentialMemory.__init__:603,_grow_segment:2916,"__init__:603; set_segment_provenance_context:762",TRANSIENT_DIAGNOSTIC,YES,NO,NO,NO,YES,YES,NO,Not currently covered by transient snapshot; leave in SequentialMemory.
_diagnostic_transition_index,SequentialMemory.__init__:604,_grow_segment:2921,"__init__:604; set_segment_provenance_context:763",TRANSIENT_DIAGNOSTIC,YES,NO,NO,NO,YES,YES,NO,Not currently covered by transient snapshot; leave in SequentialMemory.
_next_segment_diagnostic_id,SequentialMemory.__init__:605,_grow_segment:2901,"__init__:605; _grow_segment:2902",UNKNOWN,YES,NO,NO,NO,YES,NO,NO,Persists across growth but is diagnostic identity; ownership is intentionally unchanged.
reinforcement_trace_callback,SequentialMemory.__init__:606,_reinforce_segment:3681-3825,SequentialMemory.__init__:606,TRANSIENT_DIAGNOSTIC,YES,NO,NO,NO,YES,YES,NO,Runtime callback remains directly owned by SequentialMemory.
prune_diagnostic_callback,SequentialMemory.__init__:611,_emit_prune_diagnostic via getattr,SequentialMemory.__init__:611,TRANSIENT_DIAGNOSTIC,NO,NO,NO,NO,YES,YES,NO,Explicitly replaced with None by __getstate__.
intralayer_parity_callback,SequentialMemory.__init__:617,_emit_intralayer_parity via getattr,SequentialMemory.__init__:617,TRANSIENT_DIAGNOSTIC,NO,NO,NO,NO,YES,YES,NO,Explicitly replaced with None by __getstate__.
runtime_debug_callback,SequentialMemory.__init__:622,_emit_runtime_debug via getattr,SequentialMemory.__init__:622,TRANSIENT_DIAGNOSTIC,NO,NO,NO,NO,NO,YES,NO,Explicitly replaced with None by __getstate__.
_runtime_debug_context,SequentialMemory.__init__:625,runtime tooling via direct model access,SequentialMemory.__init__:625,TRANSIENT_DIAGNOSTIC,NO,NO,NO,NO,NO,YES,NO,Explicitly replaced with an empty dict by __getstate__.
