checkpoint_sentences,sentence_index,retrieval_mode,recall_step,expected_word,decoded_word,raw_event_count,raw_predicted_column_count,prediction_active_cell_count,advance_success,timed_overlap_of_selected_word,column_overlap_of_selected_word,number_of_ranked_candidates,top_5_candidates,stopped_reason,previous_active_cell_count,previous_winner_count,burst_cell_count
100,3,neural,4,splendid,for,77,77,77,True,3,3,38,"[{""word"": ""for"", ""timed_overlap"": 3, ""column_overlap"": 3}, {""word"": ""heart"", ""timed_overlap"": 2, ""column_overlap"": 2}, {""word"": ""guess"", ""timed_overlap"": 2, ""column_overlap"": 2}, {""word"": ""O"", ""timed_overlap"": 1, ""column_overlap"": 4}, {""word"": ""''"", ""timed_overlap"": 1, ""column_overlap"": 3}]",completed,43,43,0
100,4,neural,1,",",",",14,14,14,True,10,10,44,"[{""word"": "","", ""timed_overlap"": 10, ""column_overlap"": 10}, {""word"": ""leafy"", ""timed_overlap"": 2, ""column_overlap"": 3}, {""word"": ""already"", ""timed_overlap"": 2, ""column_overlap"": 2}, {""word"": ""going"", ""timed_overlap"": 1, ""column_overlap"": 3}, {""word"": ""tracks"", ""timed_overlap"": 1, ""column_overlap"": 3}]",completed,10,10,0
100,4,neural,2,the,and,49,49,49,True,4,4,53,"[{""word"": ""and"", ""timed_overlap"": 4, ""column_overlap"": 4}, {""word"": ""I"", ""timed_overlap"": 3, ""column_overlap"": 4}, {""word"": ""the"", ""timed_overlap"": 2, ""column_overlap"": 4}, {""word"": ""able"", ""timed_overlap"": 2, ""column_overlap"": 4}, {""word"": ""pulled"", ""timed_overlap"": 1, ""column_overlap"": 4}]",completed,14,14,0
100,4,neural,3,doctor,If,93,93,93,True,3,4,43,"[{""word"": ""If"", ""timed_overlap"": 3, ""column_overlap"": 4}, {""word"": ""you"", ""timed_overlap"": 3, ""column_overlap"": 3}, {""word"": ""two"", ""timed_overlap"": 2, ""column_overlap"": 2}, {""word"": ""then"", ""timed_overlap"": 2, ""column_overlap"": 2}, {""word"": ""into"", ""timed_overlap"": 1, ""column_overlap"": 3}]",completed,49,49,0
100,4,neural,4,",",will,93,93,93,True,5,5,36,"[{""word"": ""will"", ""timed_overlap"": 5, ""column_overlap"": 5}, {""word"": ""We"", ""timed_overlap"": 2, ""column_overlap"": 2}, {""word"": ""window"", ""timed_overlap"": 1, ""column_overlap"": 3}, {""word"": ""up"", ""timed_overlap"": 1, ""column_overlap"": 3}, {""word"": ""seen"", ""timed_overlap"": 1, ""column_overlap"": 2}]",completed,93,93,0
100,5,neural,1,had,had,30,30,30,True,7,7,48,"[{""word"": ""had"", ""timed_overlap"": 7, ""column_overlap"": 7}, {""word"": ""back"", ""timed_overlap"": 2, ""column_overlap"": 3}, {""word"": ""its"", ""timed_overlap"": 1, ""column_overlap"": 3}, {""word"": ""therefore"", ""timed_overlap"": 1, ""column_overlap"": 3}, {""word"": ""save"", ""timed_overlap"": 1, ""column_overlap"": 3}]",completed,64,10,0
100,5,neural,2,no,no,45,45,45,True,7,7,47,"[{""word"": ""no"", ""timed_overlap"": 7, ""column_overlap"": 7}, {""word"": ""fine"", ""timed_overlap"": 2, ""column_overlap"": 3}, {""word"": ""brave"", ""timed_overlap"": 2, ""column_overlap"": 2}, {""word"": ""teeth"", ""timed_overlap"": 1, ""column_overlap"": 4}, {""word"": ""with"", ""timed_overlap"": 1, ""column_overlap"": 3}]",completed,30,30,0
100,5,neural,3,chance,chance,59,59,59,True,5,5,45,"[{""word"": ""chance"", ""timed_overlap"": 5, ""column_overlap"": 5}, {""word"": ""into"", ""timed_overlap"": 2, ""column_overlap"": 3}, {""word"": ""done"", ""timed_overlap"": 2, ""column_overlap"": 2}, {""word"": ""A"", ""timed_overlap"": 2, ""column_overlap"": 2}, {""word"": ""caught"", ""timed_overlap"": 1, ""column_overlap"": 4}]",completed,45,45,0
100,5,neural,4,after,expect,74,74,74,True,2,2,37,"[{""word"": ""expect"", ""timed_overlap"": 2, ""column_overlap"": 2}, {""word"": ""only"", ""timed_overlap"": 2, ""column_overlap"": 2}, {""word"": ""his"", ""timed_overlap"": 2, ""column_overlap"": 2}, {""word"": ""saw"", ""timed_overlap"": 1, ""column_overlap"": 3}, {""word"": ""think"", ""timed_overlap"": 1, ""column_overlap"": 3}]",completed,59,59,0
100,6,neural,1,old,old,26,26,26,True,9,9,37,"[{""word"": ""old"", ""timed_overlap"": 9, ""column_overlap"": 9}, {""word"": ""humanity"", ""timed_overlap"": 2, ""column_overlap"": 3}, {""word"": ""down"", ""timed_overlap"": 1, ""column_overlap"": 4}, {""word"": ""--"", ""timed_overlap"": 1, ""column_overlap"": 3}, {""word"": ""marriage"", ""timed_overlap"": 1, ""column_overlap"": 3}]",completed,37,10,0
100,6,neural,2,pictures,pictures,60,60,60,True,5,5,44,"[{""word"": ""pictures"", ""timed_overlap"": 5, ""column_overlap"": 5}, {""word"": ""to"", ""timed_overlap"": 3, ""column_overlap"": 3}, {""word"": ""fry"", ""timed_overlap"": 2, ""column_overlap"": 2}, {""word"": ""fell"", ""timed_overlap"": 1, ""column_overlap"": 3}, {""word"": ""fine"", ""timed_overlap"": 1, ""column_overlap"": 3}]",completed,26,26,0
100,6,neural,3,",",",",66,66,66,True,2,2,48,"[{""word"": "","", ""timed_overlap"": 2, ""column_overlap"": 2}, {""word"": ""well"", ""timed_overlap"": 1, ""column_overlap"": 4}, {""word"": ""have"", ""timed_overlap"": 1, ""column_overlap"": 3}, {""word"": ""make"", ""timed_overlap"": 1, ""column_overlap"": 3}, {""word"": ""forward"", ""timed_overlap"": 1, ""column_overlap"": 3}]",completed,60,60,0
100,6,neural,4,sustaining,but,81,81,81,True,2,2,42,"[{""word"": ""but"", ""timed_overlap"": 2, ""column_overlap"": 2}, {""word"": ""long"", ""timed_overlap"": 1, ""column_overlap"": 4}, {""word"": ""It"", ""timed_overlap"": 1, ""column_overlap"": 4}, {""word"": ""as"", ""timed_overlap"": 1, ""column_overlap"": 3}, {""word"": ""villagers"", ""timed_overlap"": 1, ""column_overlap"": 3}]",completed,66,66,0
100,7,neural,1,nice,nice,26,26,26,True,8,8,46,"[{""word"": ""nice"", ""timed_overlap"": 8, ""column_overlap"": 8}, {""word"": ""'"", ""timed_overlap"": 2, ""column_overlap"": 3}, {""word"": ""still"", ""timed_overlap"": 2, ""column_overlap"": 3}, {""word"": ""take"", ""timed_overlap"": 2, ""column_overlap"": 2}, {""word"": ""deny"", ""timed_overlap"": 2, ""column_overlap"": 2}]",completed,28,10,0
100,7,neural,2,",",to,53,53,53,True,5,5,52,"[{""word"": ""to"", ""timed_overlap"": 5, ""column_overlap"": 5}, {""word"": ""skins"", ""timed_overlap"": 2, ""column_overlap"": 2}, {""word"": ""all"", ""timed_overlap"": 2, ""column_overlap"": 2}, {""word"": ""Nay"", ""timed_overlap"": 1, ""column_overlap"": 4}, {""word"": ""."", ""timed_overlap"": 1, ""column_overlap"": 3}]",completed,26,26,0
100,7,neural,3,I,you,76,76,76,True,7,7,34,"[{""word"": ""you"", ""timed_overlap"": 7, ""column_overlap"": 7}, {""word"": "","", ""timed_overlap"": 2, ""column_overlap"": 2}, {""word"": ""high"", ""timed_overlap"": 1, ""column_overlap"": 3}, {""word"": ""man"", ""timed_overlap"": 1, ""column_overlap"": 3}, {""word"": ""could"", ""timed_overlap"": 1, ""column_overlap"": 3}]",completed,53,53,0
100,7,neural,4,'m,need,93,93,93,True,3,3,40,"[{""word"": ""need"", ""timed_overlap"": 3, ""column_overlap"": 3}, {""word"": ""able"", ""timed_overlap"": 2, ""column_overlap"": 4}, {""word"": ""said"", ""timed_overlap"": 2, ""column_overlap"": 2}, {""word"": ""pulled"", ""timed_overlap"": 1, ""column_overlap"": 3}, {""word"": ""that"", ""timed_overlap"": 1, ""column_overlap"": 3}]",completed,76,76,0
100,8,neural,1,certainly,fish,96,96,96,True,2,3,55,"[{""word"": ""fish"", ""timed_overlap"": 2, ""column_overlap"": 3}, {""word"": ""splendid"", ""timed_overlap"": 2, ""column_overlap"": 2}, {""word"": ""about"", ""timed_overlap"": 2, ""column_overlap"": 2}, {""word"": ""remembering"", ""timed_overlap"": 2, ""column_overlap"": 2}, {""word"": ""it"", ""timed_overlap"": 2, ""column_overlap"": 2}]",completed,46,10,0
100,8,neural,2,",",bronze-colored,98,98,98,True,4,6,44,"[{""word"": ""bronze-colored"", ""timed_overlap"": 4, ""column_overlap"": 6}, {""word"": ""rejoined"", ""timed_overlap"": 3, ""column_overlap"": 3}, {""word"": ""get"", ""timed_overlap"": 2, ""column_overlap"": 2}, {""word"": ""planned"", ""timed_overlap"": 1, ""column_overlap"": 3}, {""word"": ""bought"", ""timed_overlap"": 1, ""column_overlap"": 3}]",completed,96,96,0
100,8,neural,3,'',his,87,87,87,True,3,3,49,"[{""word"": ""his"", ""timed_overlap"": 3, ""column_overlap"": 3}, {""word"": ""head"", ""timed_overlap"": 2, ""column_overlap"": 2}, {""word"": ""should"", ""timed_overlap"": 1, ""column_overlap"": 4}, {""word"": ""close"", ""timed_overlap"": 1, ""column_overlap"": 3}, {""word"": ""come"", ""timed_overlap"": 1, ""column_overlap"": 3}]",completed,98,98,0
100,8,neural,4,said,may,85,85,85,True,2,2,35,"[{""word"": ""may"", ""timed_overlap"": 2, ""column_overlap"": 2}, {""word"": ""Happy"", ""timed_overlap"": 1, ""column_overlap"": 6}, {""word"": ""want"", ""timed_overlap"": 1, ""column_overlap"": 3}, {""word"": ""out"", ""timed_overlap"": 1, ""column_overlap"": 3}, {""word"": ""ones"", ""timed_overlap"": 1, ""column_overlap"": 3}]",completed,87,87,0
100,9,neural,1,you,you,81,81,81,True,5,5,45,"[{""word"": ""you"", ""timed_overlap"": 5, ""column_overlap"": 5}, {""word"": ""leafy"", ""timed_overlap"": 2, ""column_overlap"": 4}, {""word"": ""our"", ""timed_overlap"": 2, ""column_overlap"": 2}, {""word"": "","", ""timed_overlap"": 2, ""column_overlap"": 2}, {""word"": ""chance"", ""timed_overlap"": 1, ""column_overlap"": 4}]",completed,82,10,0
100,9,neural,2,think,her,85,85,85,True,4,4,44,"[{""word"": ""her"", ""timed_overlap"": 4, ""column_overlap"": 4}, {""word"": ""lie"", ""timed_overlap"": 2, ""column_overlap"": 4}, {""word"": ""visitors"", ""timed_overlap"": 2, ""column_overlap"": 3}, {""word"": ""wife"", ""timed_overlap"": 2, ""column_overlap"": 2}, {""word"": ""expect"", ""timed_overlap"": 2, ""column_overlap"": 2}]",completed,81,81,0
100,9,neural,3,Mrs.,Mrs.,82,82,82,True,3,3,47,"[{""word"": ""Mrs."", ""timed_overlap"": 3, ""column_overlap"": 3}, {""word"": ""hands"", ""timed_overlap"": 3, ""column_overlap"": 3}, {""word"": ""want"", ""timed_overlap"": 2, ""column_overlap"": 2}, {""word"": ""could"", ""timed_overlap"": 2, ""column_overlap"": 2}, {""word"": ""prince"", ""timed_overlap"": 1, ""column_overlap"": 4}]",completed,85,85,0
100,9,neural,4,Elliott,know,92,92,92,True,2,4,49,"[{""word"": ""know"", ""timed_overlap"": 2, ""column_overlap"": 4}, {""word"": ""parents"", ""timed_overlap"": 2, ""column_overlap"": 3}, {""word"": ""wind"", ""timed_overlap"": 2, ""column_overlap"": 3}, {""word"": ""that"", ""timed_overlap"": 2, ""column_overlap"": 2}, {""word"": ""place"", ""timed_overlap"": 1, ""column_overlap"": 4}]",completed,82,82,0
100,10,neural,1,would,would,54,54,54,True,5,5,44,"[{""word"": ""would"", ""timed_overlap"": 5, ""column_overlap"": 5}, {""word"": ""was"", ""timed_overlap"": 3, ""column_overlap"": 3}, {""word"": ""value"", ""timed_overlap"": 2, ""column_overlap"": 2}, {""word"": ""that"", ""timed_overlap"": 2, ""column_overlap"": 2}, {""word"": ""o"", ""timed_overlap"": 1, ""column_overlap"": 5}]",completed,37,10,0
100,10,neural,2,ruin,heated,78,78,78,True,5,5,53,"[{""word"": ""heated"", ""timed_overlap"": 5, ""column_overlap"": 5}, {""word"": ""ruin"", ""timed_overlap"": 3, ""column_overlap"": 6}, {""word"": ""the"", ""timed_overlap"": 2, ""column_overlap"": 2}, {""word"": ""Puck"", ""timed_overlap"": 2, ""column_overlap"": 2}, {""word"": ""In"", ""timed_overlap"": 1, ""column_overlap"": 4}]",completed,54,54,0
100,10,neural,3,you,she,92,92,92,True,3,3,47,"[{""word"": ""she"", ""timed_overlap"": 3, ""column_overlap"": 3}, {""word"": ""much"", ""timed_overlap"": 2, ""column_overlap"": 2}, {""word"": ""pay"", ""timed_overlap"": 1, ""column_overlap"": 3}, {""word"": ""run"", ""timed_overlap"": 1, ""column_overlap"": 3}, {""word"": ""--"", ""timed_overlap"": 1, ""column_overlap"": 3}]",completed,78,78,0
100,10,neural,4,to,planned,90,90,90,True,1,3,34,"[{""word"": ""planned"", ""timed_overlap"": 1, ""column_overlap"": 3}, {""word"": ""knows"", ""timed_overlap"": 1, ""column_overlap"": 3}, {""word"": ""how"", ""timed_overlap"": 1, ""column_overlap"": 3}, {""word"": ""would"", ""timed_overlap"": 1, ""column_overlap"": 2}, {""word"": ""it"", ""timed_overlap"": 1, ""column_overlap"": 2}]",completed,92,92,0
100,11,neural,1,dared,need,89,89,89,True,4,4,41,"[{""word"": ""need"", ""timed_overlap"": 4, ""column_overlap"": 4}, {""word"": ""dared"", ""timed_overlap"": 3, ""column_overlap"": 3}, {""word"": ""might"", ""timed_overlap"": 2, ""column_overlap"": 2}, {""word"": ""any"", ""timed_overlap"": 2, ""column_overlap"": 2}, {""word"": ""wind"", ""timed_overlap"": 2, ""column_overlap"": 2}]",completed,46,10,0
100,11,neural,2,face,have,80,80,80,True,4,4,44,"[{""word"": ""have"", ""timed_overlap"": 4, ""column_overlap"": 4}, {""word"": "","", ""timed_overlap"": 3, ""column_overlap"": 3}, {""word"": ""horses"", ""timed_overlap"": 2, ""column_overlap"": 2}, {""word"": ""leafy"", ""timed_overlap"": 2, ""column_overlap"": 2}, {""word"": ""saw"", ""timed_overlap"": 1, ""column_overlap"": 3}]",completed,89,89,0
100,11,neural,3,Bill,off,85,85,85,True,3,4,34,"[{""word"": ""off"", ""timed_overlap"": 3, ""column_overlap"": 4}, {""word"": ""Elliott"", ""timed_overlap"": 2, ""column_overlap"": 5}, {""word"": ""veil"", ""timed_overlap"": 2, ""column_overlap"": 4}, {""word"": ""Aunt"", ""timed_overlap"": 2, ""column_overlap"": 2}, {""word"": ""When"", ""timed_overlap"": 2, ""column_overlap"": 2}]",completed,80,80,0
100,11,neural,4,",",price,91,91,91,True,2,2,44,"[{""word"": ""price"", ""timed_overlap"": 2, ""column_overlap"": 2}, {""word"": ""shook"", ""timed_overlap"": 1, ""column_overlap"": 3}, {""word"": ""had"", ""timed_overlap"": 1, ""column_overlap"": 3}, {""word"": ""did"", ""timed_overlap"": 1, ""column_overlap"": 3}, {""word"": ""frightened"", ""timed_overlap"": 1, ""column_overlap"": 3}]",completed,85,85,0
100,12,neural,1,do,do,20,20,20,True,10,10,48,"[{""word"": ""do"", ""timed_overlap"": 10, ""column_overlap"": 10}, {""word"": ""remorsefully"", ""timed_overlap"": 2, ""column_overlap"": 3}, {""word"": ""For"", ""timed_overlap"": 2, ""column_overlap"": 2}, {""word"": ""good"", ""timed_overlap"": 1, ""column_overlap"": 3}, {""word"": ""minister"", ""timed_overlap"": 1, ""column_overlap"": 3}]",completed,19,10,0
100,12,neural,2,but,but,29,29,29,True,5,5,43,"[{""word"": ""but"", ""timed_overlap"": 5, ""column_overlap"": 5}, {""word"": ""an"", ""timed_overlap"": 2, ""column_overlap"": 3}, {""word"": ""long"", ""timed_overlap"": 2, ""column_overlap"": 2}, {""word"": ""brave"", ""timed_overlap"": 2, ""column_overlap"": 2}, {""word"": ""much"", ""timed_overlap"": 1, ""column_overlap"": 3}]",completed,20,20,0
100,12,neural,3,run,the,49,49,49,True,5,5,42,"[{""word"": ""the"", ""timed_overlap"": 5, ""column_overlap"": 5}, {""word"": ""by"", ""timed_overlap"": 2, ""column_overlap"": 3}, {""word"": ""pulled"", ""timed_overlap"": 2, ""column_overlap"": 2}, {""word"": ""run"", ""timed_overlap"": 2, ""column_overlap"": 2}, {""word"": ""Spirit"", ""timed_overlap"": 1, ""column_overlap"": 4}]",completed,29,29,0
100,12,neural,4,away,present,83,83,83,True,4,4,35,"[{""word"": ""present"", ""timed_overlap"": 4, ""column_overlap"": 4}, {""word"": ""up"", ""timed_overlap"": 2, ""column_overlap"": 3}, {""word"": ""mutinously"", ""timed_overlap"": 2, ""column_overlap"": 2}, {""word"": ""like"", ""timed_overlap"": 1, ""column_overlap"": 3}, {""word"": ""hearth"", ""timed_overlap"": 1, ""column_overlap"": 3}]",completed,49,49,0
100,13,neural,1,close,some,47,47,47,True,4,5,42,"[{""word"": ""some"", ""timed_overlap"": 4, ""column_overlap"": 5}, {""word"": ""awful"", ""timed_overlap"": 4, ""column_overlap"": 4}, {""word"": ""she"", ""timed_overlap"": 1, ""column_overlap"": 4}, {""word"": ""can"", ""timed_overlap"": 1, ""column_overlap"": 3}, {""word"": ""bared"", ""timed_overlap"": 1, ""column_overlap"": 3}]",completed,46,10,0
100,13,neural,2,",",early,41,41,41,True,4,4,52,"[{""word"": ""early"", ""timed_overlap"": 4, ""column_overlap"": 4}, {""word"": ""blades"", ""timed_overlap"": 3, ""column_overlap"": 3}, {""word"": ""."", ""timed_overlap"": 2, ""column_overlap"": 4}, {""word"": ""may"", ""timed_overlap"": 2, ""column_overlap"": 3}, {""word"": ""take"", ""timed_overlap"": 2, ""column_overlap"": 3}]",completed,47,47,0
100,13,neural,3,almost,of,81,81,81,True,7,7,41,"[{""word"": ""of"", ""timed_overlap"": 7, ""column_overlap"": 7}, {""word"": ""'m"", ""timed_overlap"": 2, ""column_overlap"": 2}, {""word"": ""almost"", ""timed_overlap"": 2, ""column_overlap"": 2}, {""word"": ""six"", ""timed_overlap"": 1, ""column_overlap"": 4}, {""word"": ""lord"", ""timed_overlap"": 1, ""column_overlap"": 4}]",completed,41,41,0
100,13,neural,4,like,like,89,89,89,True,3,4,61,"[{""word"": ""like"", ""timed_overlap"": 3, ""column_overlap"": 4}, {""word"": ""grass"", ""timed_overlap"": 3, ""column_overlap"": 4}, {""word"": ""almost"", ""timed_overlap"": 2, ""column_overlap"": 3}, {""word"": ""growled"", ""timed_overlap"": 2, ""column_overlap"": 2}, {""word"": ""fall"", ""timed_overlap"": 1, ""column_overlap"": 4}]",completed,81,81,0
100,14,neural,1,dragging,dragging,26,26,26,True,7,7,52,"[{""word"": ""dragging"", ""timed_overlap"": 7, ""column_overlap"": 7}, {""word"": ""beauty"", ""timed_overlap"": 2, ""column_overlap"": 2}, {""word"": ""sentence"", ""timed_overlap"": 1, ""column_overlap"": 3}, {""word"": ""fish"", ""timed_overlap"": 1, ""column_overlap"": 3}, {""word"": ""Peter"", ""timed_overlap"": 1, ""column_overlap"": 3}]",completed,28,10,0
100,14,neural,2,so,so,47,47,47,True,5,5,48,"[{""word"": ""so"", ""timed_overlap"": 5, ""column_overlap"": 5}, {""word"": "","", ""timed_overlap"": 2, ""column_overlap"": 3}, {""word"": ""finish"", ""timed_overlap"": 2, ""column_overlap"": 2}, {""word"": ""agreement"", ""timed_overlap"": 2, ""column_overlap"": 2}, {""word"": ""Janet"", ""timed_overlap"": 1, ""column_overlap"": 4}]",completed,26,26,0
100,14,neural,3,much,much,92,92,92,True,3,3,38,"[{""word"": ""much"", ""timed_overlap"": 3, ""column_overlap"": 3}, {""word"": ""laughed"", ""timed_overlap"": 2, ""column_overlap"": 3}, {""word"": ""would"", ""timed_overlap"": 1, ""column_overlap"": 3}, {""word"": ""wife"", ""timed_overlap"": 1, ""column_overlap"": 3}, {""word"": ""get"", ""timed_overlap"": 1, ""column_overlap"": 3}]",completed,47,47,0
100,14,neural,4,silver,they,89,89,89,True,3,4,39,"[{""word"": ""they"", ""timed_overlap"": 3, ""column_overlap"": 4}, {""word"": ""Rogers"", ""timed_overlap"": 3, ""column_overlap"": 3}, {""word"": ""pictures"", ""timed_overlap"": 2, ""column_overlap"": 2}, {""word"": ""will"", ""timed_overlap"": 2, ""column_overlap"": 2}, {""word"": ""before"", ""timed_overlap"": 1, ""column_overlap"": 4}]",completed,92,92,0
100,15,neural,1,with,with,59,59,59,True,4,4,41,"[{""word"": ""with"", ""timed_overlap"": 4, ""column_overlap"": 4}, {""word"": ""bestrewn"", ""timed_overlap"": 2, ""column_overlap"": 3}, {""word"": ""Well"", ""timed_overlap"": 2, ""column_overlap"": 3}, {""word"": ""Dacca"", ""timed_overlap"": 1, ""column_overlap"": 5}, {""word"": ""laughed"", ""timed_overlap"": 1, ""column_overlap"": 3}]",completed,82,10,0
100,15,neural,2,alarm,tracks,88,88,88,True,2,4,48,"[{""word"": ""tracks"", ""timed_overlap"": 2, ""column_overlap"": 4}, {""word"": ""wind"", ""timed_overlap"": 2, ""column_overlap"": 3}, {""word"": ""will"", ""timed_overlap"": 2, ""column_overlap"": 2}, {""word"": ""bronze-colored"", ""timed_overlap"": 2, ""column_overlap"": 2}, {""word"": ""His"", ""timed_overlap"": 1, ""column_overlap"": 4}]",completed,59,59,0
100,15,neural,3,and,hair,94,94,94,True,4,4,49,"[{""word"": ""hair"", ""timed_overlap"": 4, ""column_overlap"": 4}, {""word"": ""thing"", ""timed_overlap"": 2, ""column_overlap"": 3}, {""word"": ""feet"", ""timed_overlap"": 1, ""column_overlap"": 4}, {""word"": ""of"", ""timed_overlap"": 1, ""column_overlap"": 4}, {""word"": ""amiss"", ""timed_overlap"": 1, ""column_overlap"": 3}]",completed,88,88,0
100,15,neural,4,jealousy,so,89,89,89,True,2,3,44,"[{""word"": ""so"", ""timed_overlap"": 2, ""column_overlap"": 3}, {""word"": ""feet"", ""timed_overlap"": 2, ""column_overlap"": 2}, {""word"": ""young"", ""timed_overlap"": 2, ""column_overlap"": 2}, {""word"": ""think"", ""timed_overlap"": 1, ""column_overlap"": 3}, {""word"": ""able"", ""timed_overlap"": 1, ""column_overlap"": 3}]",completed,94,94,0
100,16,neural,1,Marsch,Marsch,36,36,36,True,5,5,46,"[{""word"": ""Marsch"", ""timed_overlap"": 5, ""column_overlap"": 5}, {""word"": ""such"", ""timed_overlap"": 2, ""column_overlap"": 3}, {""word"": ""moment"", ""timed_overlap"": 2, ""column_overlap"": 2}, {""word"": ""Sammy"", ""timed_overlap"": 1, ""column_overlap"": 3}, {""word"": ""awful"", ""timed_overlap"": 1, ""column_overlap"": 3}]",completed,28,10,0
