path,module,role,loc,class_count,function_count,local_import_count,imported_by_count,direct_test_reference,indirect_test_reference,checkpoint_sensitive,module_docstring,documented_definition_ratio,comment_lines
experiments/diagnostics/fig9_branch_provenance.py,experiments.diagnostics.fig9_branch_provenance,diagnostic,763,2,20,6,14,True,True,False,True,0.500,0
experiments/diagnostics/fig9_candidate_context_oracle.py,experiments.diagnostics.fig9_candidate_context_oracle,diagnostic,676,2,18,3,5,True,True,False,True,0.450,0
experiments/diagnostics/fig9_candidate_score_trace.py,experiments.diagnostics.fig9_candidate_score_trace,diagnostic,107,0,3,3,15,True,True,False,True,1.000,0
experiments/diagnostics/fig9_competitive_inhibition.py,experiments.diagnostics.fig9_competitive_inhibition,diagnostic,652,5,15,2,16,True,True,False,True,0.600,2
experiments/diagnostics/fig9_context_trajectory.py,experiments.diagnostics.fig9_context_trajectory,diagnostic,466,3,9,5,2,True,True,False,True,0.417,0
experiments/diagnostics/fig9_independent_reference.py,experiments.diagnostics.fig9_independent_reference,diagnostic,319,1,12,5,2,True,True,False,True,0.154,0
experiments/diagnostics/fig9_intracolumn_selector.py,experiments.diagnostics.fig9_intracolumn_selector,diagnostic,416,0,4,4,2,True,True,False,True,0.750,3
experiments/diagnostics/fig9_match_overlap.py,experiments.diagnostics.fig9_match_overlap,diagnostic,1149,2,15,6,4,True,True,False,True,0.471,6
experiments/diagnostics/fig9_oracle_candidate.py,experiments.diagnostics.fig9_oracle_candidate,diagnostic,756,1,22,2,21,True,True,False,True,0.174,0
experiments/diagnostics/fig9_preselection_segments.py,experiments.diagnostics.fig9_preselection_segments,diagnostic,839,0,12,6,2,True,True,False,True,0.167,0
experiments/diagnostics/fig9_readout_dynamics.py,experiments.diagnostics.fig9_readout_dynamics,diagnostic,357,0,11,2,3,True,True,False,True,0.364,4
experiments/diagnostics/fig9_segment_context_composition.py,experiments.diagnostics.fig9_segment_context_composition,diagnostic,766,3,24,4,2,True,True,False,True,0.222,0
experiments/diagnostics/fig9_segment_reinforcement.py,experiments.diagnostics.fig9_segment_reinforcement,diagnostic,291,0,5,5,1,False,True,False,True,0.800,2
experiments/diagnostics/fig9_taxi_prediction.py,experiments.diagnostics.fig9_taxi_prediction,diagnostic,607,2,18,2,0,False,False,False,False,0.050,0
experiments/diagnostics/fig9_teacher_forced_identity.py,experiments.diagnostics.fig9_teacher_forced_identity,diagnostic,684,0,12,5,3,True,True,False,True,0.500,0
experiments/diagnostics/fig9_temporal_context.py,experiments.diagnostics.fig9_temporal_context,diagnostic,643,2,28,1,3,True,True,False,True,0.033,5
experiments/diagnostics/inspect_fig9_checkpoint.py,experiments.diagnostics.inspect_fig9_checkpoint,diagnostic,54,0,2,2,0,False,False,False,True,0.000,0
experiments/diagnostics/multihorizon_fig9_transfer.py,experiments.diagnostics.multihorizon_fig9_transfer,diagnostic,230,0,4,2,0,False,False,False,False,0.250,0
experiments/diagnostics/multivariate_fig9_transfer.py,experiments.diagnostics.multivariate_fig9_transfer,diagnostic,343,0,9,2,0,False,False,False,False,0.111,0
experiments/diagnostics/weather_paper_snn.py,experiments.diagnostics.weather_paper_snn,diagnostic,214,1,5,2,0,False,False,False,False,0.000,0
experiments/fig7_reference_comparison.py,experiments.fig7_reference_comparison,experiment,156,0,7,0,0,False,False,False,False,0.000,0
experiments/fig7_repeated_trials.py,experiments.fig7_repeated_trials,experiment,178,0,7,0,0,False,False,False,False,0.000,0
experiments/fig7_sequence_prediction.py,experiments.fig7_sequence_prediction,experiment,309,2,10,2,1,True,True,False,False,0.000,3
experiments/fig8_resource_sweep.py,experiments.fig8_resource_sweep,experiment,183,0,4,2,0,False,False,False,False,0.000,0
experiments/fig8_retrieval_ablation.py,experiments.fig8_retrieval_ablation,experiment,211,0,6,2,0,False,False,False,False,0.000,0
experiments/fig8_sentence_memory.py,experiments.fig8_sentence_memory,experiment,474,0,9,2,17,True,True,False,False,0.111,0
experiments/fig8c_poem_memory.py,experiments.fig8c_poem_memory,experiment,446,3,15,2,0,False,False,False,False,0.056,0
experiments/fig9/__init__.py,experiments.fig9,experiment,22,0,0,0,19,True,True,False,True,,0
experiments/fig9/anchor_parity.py,experiments.fig9.anchor_parity,experiment,582,1,21,2,2,True,True,False,True,0.682,0
experiments/fig9/data.py,experiments.fig9.data,experiment,45,1,2,0,7,True,True,False,True,1.000,0
experiments/fig9/evaluation_metric_audit.py,experiments.fig9.evaluation_metric_audit,experiment,613,2,21,1,1,True,True,False,True,0.391,3
experiments/fig9/learning.py,experiments.fig9.learning,experiment,34,0,1,2,2,False,True,False,True,1.000,2
experiments/fig9/metrics.py,experiments.fig9.metrics,experiment,140,0,10,0,7,True,True,False,True,1.000,0
experiments/fig9/outputs.py,experiments.fig9.outputs,experiment,60,0,2,0,1,False,True,False,True,1.000,0
experiments/fig9/parity.py,experiments.fig9.parity,experiment,897,0,19,6,4,True,True,False,True,0.105,0
experiments/fig9_compare_runs.py,experiments.fig9_compare_runs,experiment,145,0,6,0,0,False,False,False,False,0.000,0
experiments/fig9_paper_snn.py,experiments.fig9_paper_snn,experiment,22,0,0,1,3,True,True,False,True,,0
experiments/fig9_recompute_rolling.py,experiments.fig9_recompute_rolling,experiment,71,0,2,1,0,False,False,False,False,0.000,0
experiments/fig9_reference_comparison.py,experiments.fig9_reference_comparison,experiment,113,0,4,0,0,False,False,False,False,0.000,0
experiments/fig9_strict_reproduction.py,experiments.fig9_strict_reproduction,experiment,6089,6,66,23,25,True,True,False,True,0.389,42
experiments/generate_fig8c_stress_dataset.py,experiments.generate_fig8c_stress_dataset,support,107,0,4,0,0,False,False,False,False,0.000,0
experiments/historical/__init__.py,experiments.historical,historical,4,0,0,0,0,False,False,False,True,,0
experiments/historical/fig9_paper_snn.py,experiments.historical.fig9_paper_snn,historical,515,0,7,6,1,False,True,False,True,0.571,18
experiments/plot_fig8c_stress_comparison.py,experiments.plot_fig8c_stress_comparison,support,98,0,5,0,0,False,False,False,False,0.000,0
experiments/prepare_fig8c_poems.py,experiments.prepare_fig8c_poems,support,103,0,4,0,0,False,False,False,False,0.000,0
scripts/audit_citation_chain_soma_vinh.py,scripts.audit_citation_chain_soma_vinh,infrastructure,197,0,6,0,0,False,False,False,True,0.000,1
scripts/prepare_resume_from_checkpoint.py,scripts.prepare_resume_from_checkpoint,infrastructure,234,0,9,0,1,True,True,False,True,0.000,2
scripts/run_logged_process.py,scripts.run_logged_process,infrastructure,319,0,10,0,1,True,True,False,True,0.200,4
src/seqmem/__init__.py,seqmem,core,2,0,0,0,3,True,True,False,True,,0
src/seqmem/dynamics.py,seqmem.dynamics,core,197,3,15,0,7,True,True,False,True,0.333,6
src/seqmem/encoding.py,seqmem.encoding,core,385,7,27,0,58,True,True,False,True,0.294,10
src/seqmem/model.py,seqmem.model,core,4214,23,65,2,62,True,True,True,True,0.568,82
tests/test_architecture_boundaries.py,tests.test_architecture_boundaries,test,112,1,6,1,0,False,False,False,False,1.000,0
tests/test_etth1_transfer.py,tests.test_etth1_transfer,test,25,1,2,0,0,False,False,False,False,0.000,0
tests/test_fig8_branch_coherence.py,tests.test_fig8_branch_coherence,test,226,1,12,5,0,False,False,False,False,0.000,0
tests/test_fig8_false_positive_diagnostics.py,tests.test_fig8_false_positive_diagnostics,test,272,1,14,4,0,False,False,False,False,0.000,0
tests/test_fig8_intralayer_plasticity_parity.py,tests.test_fig8_intralayer_plasticity_parity,test,348,1,37,3,0,False,False,False,False,0.000,2
tests/test_fig8_neural_retrieval.py,tests.test_fig8_neural_retrieval,test,183,1,13,3,0,False,False,False,False,0.000,0
tests/test_fig8_prediction_competition.py,tests.test_fig8_prediction_competition,test,203,1,10,4,0,False,False,False,False,0.000,2
tests/test_fig8_scenario1_contribution.py,tests.test_fig8_scenario1_contribution,test,213,1,11,3,0,False,False,False,False,0.000,0
tests/test_fig8_scenario_temporal_credit_parity.py,tests.test_fig8_scenario_temporal_credit_parity,test,188,1,29,4,0,False,False,False,False,0.000,0
tests/test_fig8_temporal_confirmation_semantics.py,tests.test_fig8_temporal_confirmation_semantics,test,145,1,11,4,0,False,False,False,False,0.000,0
tests/test_fig8c_poem_memory.py,tests.test_fig8c_poem_memory,test,54,1,5,1,0,False,False,False,False,0.000,0
tests/test_fig9_actual_branch_provenance.py,tests.test_fig9_actual_branch_provenance,test,143,1,8,1,0,False,False,False,False,0.000,0
tests/test_fig9_ambiguity.py,tests.test_fig9_ambiguity,test,175,3,9,6,0,False,False,False,False,0.000,0
tests/test_fig9_anchor_parity.py,tests.test_fig9_anchor_parity,test,354,1,51,8,0,False,False,False,False,0.000,0
tests/test_fig9_autonomous_context_provenance.py,tests.test_fig9_autonomous_context_provenance,test,173,2,6,3,0,False,False,False,False,0.000,0
tests/test_fig9_branch_identity.py,tests.test_fig9_branch_identity,test,96,1,4,1,0,False,False,False,False,0.000,0
tests/test_fig9_branch_provenance.py,tests.test_fig9_branch_provenance,test,337,2,15,7,0,False,False,False,False,0.000,0
tests/test_fig9_candidate_context_oracle.py,tests.test_fig9_candidate_context_oracle,test,130,1,8,2,0,False,False,False,False,0.000,0
tests/test_fig9_candidate_score_separability.py,tests.test_fig9_candidate_score_separability,test,465,2,25,6,0,False,False,False,False,0.000,0
tests/test_fig9_competition_policy_comparison.py,tests.test_fig9_competition_policy_comparison,test,118,1,7,1,0,False,False,False,False,0.000,0
tests/test_fig9_competitive_inhibition.py,tests.test_fig9_competitive_inhibition,test,603,1,29,5,0,False,False,False,False,0.000,0
tests/test_fig9_context_trajectory.py,tests.test_fig9_context_trajectory,test,386,3,6,7,0,False,False,False,False,0.000,0
tests/test_fig9_evaluation_metric_audit.py,tests.test_fig9_evaluation_metric_audit,test,152,1,22,3,0,False,False,False,True,0.000,0
tests/test_fig9_independent_reference.py,tests.test_fig9_independent_reference,test,47,1,3,2,0,False,False,False,False,0.000,0
tests/test_fig9_intracolumn_selector.py,tests.test_fig9_intracolumn_selector,test,424,2,17,8,0,False,False,False,False,0.000,0
tests/test_fig9_l2_stack_component.py,tests.test_fig9_l2_stack_component,test,85,1,5,2,0,False,False,False,False,0.000,0
tests/test_fig9_lmatch_ablation.py,tests.test_fig9_lmatch_ablation,test,393,2,14,5,0,False,False,False,False,0.000,0
tests/test_fig9_lmatch_stack_2x2.py,tests.test_fig9_lmatch_stack_2x2,test,98,1,8,1,0,False,False,False,False,0.000,0
tests/test_fig9_long_sequence.py,tests.test_fig9_long_sequence,test,98,1,4,2,0,False,False,False,False,0.000,0
tests/test_fig9_match_overlap.py,tests.test_fig9_match_overlap,test,926,2,38,9,0,False,False,False,False,0.000,2
tests/test_fig9_native_crash_logging.py,tests.test_fig9_native_crash_logging,test,195,1,9,4,0,False,False,False,False,0.000,0
tests/test_fig9_oracle_candidate.py,tests.test_fig9_oracle_candidate,test,408,1,21,6,0,False,False,False,False,0.000,0
tests/test_fig9_pairwise_context.py,tests.test_fig9_pairwise_context,test,320,1,54,1,0,False,False,False,False,0.000,0
tests/test_fig9_paper_code_parity.py,tests.test_fig9_paper_code_parity,test,268,1,38,5,0,False,False,False,False,0.000,0
tests/test_fig9_preselection_segments.py,tests.test_fig9_preselection_segments,test,481,2,15,7,0,False,False,False,False,0.000,0
tests/test_fig9_process_logging.py,tests.test_fig9_process_logging,test,122,1,3,0,0,False,False,False,False,0.000,0
tests/test_fig9_prune_recovery.py,tests.test_fig9_prune_recovery,test,193,1,5,4,0,False,False,False,False,0.000,0
tests/test_fig9_readout_dynamics.py,tests.test_fig9_readout_dynamics,test,216,1,10,6,0,False,False,False,False,0.000,0
tests/test_fig9_resume_diagnostic_assembly.py,tests.test_fig9_resume_diagnostic_assembly,test,82,1,3,1,0,False,False,False,False,0.000,0
tests/test_fig9_segment_context_composition.py,tests.test_fig9_segment_context_composition,test,126,1,4,7,0,False,False,False,False,0.000,0
tests/test_fig9_segment_reinforcement.py,tests.test_fig9_segment_reinforcement,test,158,1,4,3,0,False,False,False,False,0.000,0
tests/test_fig9_strict_reproduction.py,tests.test_fig9_strict_reproduction,test,878,1,37,4,0,False,False,False,False,0.000,0
tests/test_fig9_teacher_forced_identity.py,tests.test_fig9_teacher_forced_identity,test,1042,2,47,8,0,False,False,False,False,0.000,0
tests/test_fig9_temporal_context.py,tests.test_fig9_temporal_context,test,258,2,52,1,0,False,False,False,False,0.000,0
tests/test_multivariate_fig9_transfer.py,tests.test_multivariate_fig9_transfer,test,58,1,4,0,0,False,False,False,False,0.000,0
tests/test_paper_alignment.py,tests.test_paper_alignment,test,633,6,48,5,0,False,False,False,False,0.000,0
tests/test_paper_core_inhibition_audit.py,tests.test_paper_core_inhibition_audit,test,118,1,12,3,0,False,False,False,False,0.000,0
tests/test_weather_transfer.py,tests.test_weather_transfer,test,31,1,2,0,0,False,False,False,False,0.000,0
