path,purpose,classification,imported_by_strict_runner,potential_model_side_effects,trace_only_or_analyzer,oracle,teacher_forced,ground_truth_reference,future_location,suggested_action
experiments/diagnostics/build_fig9_lmatch_stack_500_report.py,Build the final offline Fig.9 250/500 decomposition report.,NONPAPER_DIAGNOSTIC,False,False,False,False,False,False,experiments/diagnostics,KEEP_OR_ARCHIVE
experiments/diagnostics/compare_fig9_competition_policies.py,Compare sequential and batched Fig.9 oracle diagnostics offline.,NONPAPER_DIAGNOSTIC,False,False,True,True,False,True,experiments/diagnostics,KEEP_OR_ARCHIVE
experiments/diagnostics/context_memory.py,No module docstring,NONPAPER_DIAGNOSTIC,False,False,False,False,False,False,experiments/diagnostics,KEEP_OR_ARCHIVE
experiments/diagnostics/etth1_paper_snn.py,No module docstring,NONPAPER_DIAGNOSTIC,False,True,False,False,False,False,experiments/diagnostics,KEEP_OR_ARCHIVE
experiments/diagnostics/fig7_context_audit.py,No module docstring,NONPAPER_DIAGNOSTIC,False,True,False,False,False,False,experiments/diagnostics,KEEP_OR_ARCHIVE
experiments/diagnostics/fig7_nonpaper_baselines.py,No module docstring,NONPAPER_DIAGNOSTIC,False,True,False,False,False,False,experiments/diagnostics,KEEP_OR_ARCHIVE
experiments/diagnostics/fig7_prediction_trace.py,No module docstring,NONPAPER_DIAGNOSTIC,False,True,False,False,False,False,experiments/diagnostics,KEEP_OR_ARCHIVE
experiments/diagnostics/fig8_branch_coherence.py,No module docstring,NONPAPER_DIAGNOSTIC,False,True,False,False,False,True,experiments/diagnostics,KEEP_OR_ARCHIVE
experiments/diagnostics/fig8_diagnostic_common.py,Fig.8 多轮诊断共用的训练、只读评估和统计工具。,NONPAPER_DIAGNOSTIC,False,True,False,False,False,True,experiments/diagnostics,KEEP_OR_ARCHIVE
experiments/diagnostics/fig8_false_positive_ablation.py,No module docstring,NONPAPER_DIAGNOSTIC,False,False,False,False,False,False,experiments/diagnostics,KEEP_OR_ARCHIVE
experiments/diagnostics/fig8_intralayer_plasticity_parity.py,Audit Fig.8 intralayer-plasticity identities without changing learning.,NONPAPER_DIAGNOSTIC,False,True,False,False,True,True,experiments/diagnostics,KEEP_OR_ARCHIVE
experiments/diagnostics/fig8_prediction_competition.py,No module docstring,NONPAPER_DIAGNOSTIC,False,True,False,False,False,True,experiments/diagnostics,KEEP_OR_ARCHIVE
experiments/diagnostics/fig8_response_scale_sweep.py,No module docstring,NONPAPER_DIAGNOSTIC,False,False,False,False,False,False,experiments/diagnostics,KEEP_OR_ARCHIVE
experiments/diagnostics/fig8_scenario1_contribution.py,No module docstring,NONPAPER_DIAGNOSTIC,False,False,False,False,False,False,experiments/diagnostics,KEEP_OR_ARCHIVE
experiments/diagnostics/fig8_scenario1_diagnostic.py,No module docstring,NONPAPER_DIAGNOSTIC,False,False,False,False,False,False,experiments/diagnostics,KEEP_OR_ARCHIVE
experiments/diagnostics/fig8_scenario_temporal_credit_parity.py,Read-only audit of Fig. 8 scenario labels and temporal credit.,NONPAPER_DIAGNOSTIC,False,True,False,False,False,False,experiments/diagnostics,KEEP_OR_ARCHIVE
experiments/diagnostics/fig8_temporal_confirmation_semantics.py,Audit the Fig.8 temporal confirmation gate and its narrow paper-semantic candidate.,NONPAPER_DIAGNOSTIC,False,True,False,False,False,False,experiments/diagnostics,KEEP_OR_ARCHIVE
experiments/diagnostics/fig9_actual_branch_provenance.py,Read-only actual-history branch provenance for Fig.9.,NONPAPER_DIAGNOSTIC,True,False,False,True,False,True,experiments/diagnostics,KEEP_ISOLATED
experiments/diagnostics/fig9_ambiguity.py,Read-only Fig.9 ambiguity and segment-reuse trace projections.,NONPAPER_DIAGNOSTIC,True,False,False,True,False,True,experiments/diagnostics,KEEP_ISOLATED
experiments/diagnostics/fig9_anchor_parity_abcd.py,Run the isolated Fig.9 five-step prediction-anchor A/B/C/D audit.,NONPAPER_DIAGNOSTIC,False,False,False,False,False,True,experiments/diagnostics,KEEP_OR_ARCHIVE
experiments/diagnostics/fig9_autonomous_context_provenance.py,Read-only provenance audit for Fig.9 autonomous rollout context.,NONPAPER_DIAGNOSTIC,True,False,False,True,False,True,experiments/diagnostics,KEEP_ISOLATED
experiments/diagnostics/fig9_branch_provenance.py,Read-only candidate-to-segment provenance capture for Fig.9 diagnostics.,NONPAPER_DIAGNOSTIC,True,False,False,True,False,True,experiments/diagnostics,KEEP_ISOLATED
experiments/diagnostics/fig9_candidate_context_oracle.py,Stable candidate identity and posthoc context/oracle projections for Fig.9.,NONPAPER_DIAGNOSTIC,True,False,False,True,False,True,experiments/diagnostics,KEEP_ISOLATED
experiments/diagnostics/fig9_candidate_score_trace.py,Read-only candidate rows for offline Fig.9 score diagnostics.,NONPAPER_DIAGNOSTIC,True,False,False,True,False,True,experiments/diagnostics,KEEP_ISOLATED
experiments/diagnostics/fig9_competitive_inhibition.py,Diagnostic continuous intercolumn competition for Fig.9 rollout.,NONPAPER_DIAGNOSTIC,True,False,False,True,False,True,experiments/diagnostics,KEEP_ISOLATED
experiments/diagnostics/fig9_context_trajectory.py,Read-only context trajectory tracing for Fig.9 diagnostics.,NONPAPER_DIAGNOSTIC,True,False,False,True,False,True,experiments/diagnostics,KEEP_ISOLATED
experiments/diagnostics/fig9_independent_reference.py,"Independent, read-only reference provenance for strict Fig.9 observations.",NONPAPER_DIAGNOSTIC,True,False,False,True,False,True,experiments/diagnostics,KEEP_ISOLATED
experiments/diagnostics/fig9_intracolumn_selector.py,Read-only serialization helpers for Fig.9 intracolumn local choice.,NONPAPER_DIAGNOSTIC,True,False,False,True,False,True,experiments/diagnostics,KEEP_ISOLATED
experiments/diagnostics/fig9_match_overlap.py,Read-only Scenario-3 match-overlap decomposition for Fig.9.,NONPAPER_DIAGNOSTIC,True,False,False,True,False,True,experiments/diagnostics,KEEP_ISOLATED
experiments/diagnostics/fig9_oracle_candidate.py,Ground-truth candidate survival analysis for competitive Fig.9 rollout.,NONPAPER_DIAGNOSTIC,True,False,False,True,False,True,experiments/diagnostics,KEEP_ISOLATED
experiments/diagnostics/fig9_preselection_segments.py,Read-only Fig.9 segment funnel rows built after prediction is fixed.,NONPAPER_DIAGNOSTIC,True,False,False,True,False,True,experiments/diagnostics,KEEP_ISOLATED
experiments/diagnostics/fig9_readout_dynamics.py,Read-only Fig.9 readout dynamics trace helpers.,NONPAPER_DIAGNOSTIC,True,False,False,False,False,False,experiments/diagnostics,KEEP_ISOLATED
experiments/diagnostics/fig9_segment_context_composition.py,Read-only segment-context composition tracing for Fig.9.,NONPAPER_DIAGNOSTIC,True,False,False,True,False,True,experiments/diagnostics,KEEP_ISOLATED
experiments/diagnostics/fig9_segment_reinforcement.py,Read-only Fig.9 segment-selection and reinforcement trace helpers.,NONPAPER_DIAGNOSTIC,True,False,False,True,False,True,experiments/diagnostics,KEEP_ISOLATED
experiments/diagnostics/fig9_taxi_prediction.py,No module docstring,NONPAPER_DIAGNOSTIC,False,True,False,False,False,False,experiments/diagnostics,KEEP_OR_ARCHIVE
experiments/diagnostics/fig9_teacher_forced_identity.py,Future-observed winner reference capture for Fig.9 diagnostics.,NONPAPER_DIAGNOSTIC,True,False,False,True,True,True,experiments/diagnostics,KEEP_ISOLATED
experiments/diagnostics/fig9_temporal_context.py,"Bounded, causal temporal summaries for Fig.9 candidates.",NONPAPER_DIAGNOSTIC,True,False,False,True,False,True,experiments/diagnostics,KEEP_ISOLATED
experiments/diagnostics/inspect_fig9_checkpoint.py,Print machine-readable resume metadata for a strict Fig.9 checkpoint.,NONPAPER_DIAGNOSTIC,False,False,True,False,False,False,experiments/diagnostics,KEEP_OR_ARCHIVE
experiments/diagnostics/multihorizon_fig9_transfer.py,No module docstring,NONPAPER_DIAGNOSTIC,False,False,False,False,False,False,experiments/diagnostics,KEEP_OR_ARCHIVE
experiments/diagnostics/multivariate_fig9_transfer.py,No module docstring,NONPAPER_DIAGNOSTIC,False,False,False,False,False,False,experiments/diagnostics,KEEP_OR_ARCHIVE
experiments/diagnostics/weather_paper_snn.py,No module docstring,NONPAPER_DIAGNOSTIC,False,True,False,False,False,False,experiments/diagnostics,KEEP_OR_ARCHIVE
