category,item,paper_value,paper_evidence,paper_page,current_value,code_location,status,severity,confidence,likely_mape_impact,action
DATA,April 2015 included,logically required if same stream,Section III-D or not specified,10,True,data/ and experiments/fig9/data.py:19,MATCH,HIGH,HIGH,HIGH,Preserve logical/inferred label
DATA,modified morning rule,weekday 07:00-11:00 -20%,Section III-D or not specified,10,same,data/ and experiments/fig9/data.py:19,MATCH,MEDIUM,HIGH,MEDIUM,None
DATA,modified evening wording,weekday 21:00-23:00 +20%,Section III-D or not specified,10,generator applies 21:00 through 23:30 bins,data/ and experiments/fig9/data.py:19,PARTIAL,MEDIUM,HIGH,MEDIUM,Audit endpoint interpretation
DATA,modified start index,,Section III-D or not specified,10,13152,data/ and experiments/fig9/data.py:19,UNKNOWN,LOW,HIGH,LOW,"Current value comes from [58], not Zhang text"
DATA,"NAB 10,320 relationship",,Section III-D or not specified,10,exact prefix of current full-year file,data/ and experiments/fig9/data.py:19,UNKNOWN,MEDIUM,HIGH,MEDIUM,Do not call seven-month NAB file paper data
DATA,author code located,,Section III-D or not specified,10,False,data/ and experiments/fig9/data.py:19,UNKNOWN,HIGH,HIGH,HIGH,Contact authors or locate supplement
ENCODING,weekday encoding type,periodic Gaussian ring,Section II-C and Fig. 3,5,periodic Gaussian ring,src/seqmem/encoding.py; experiments/fig9_strict_reproduction.py:1454,MATCH,HIGH,HIGH,HIGH,None
ENCODING,time encoding type,periodic Gaussian ring,Section II-C and Fig. 3,5,periodic Gaussian ring,src/seqmem/encoding.py; experiments/fig9_strict_reproduction.py:1454,MATCH,HIGH,HIGH,HIGH,None
ENCODING,passenger encoding type,real Gaussian population,Section II-C and Fig. 3,5,real Gaussian population,src/seqmem/encoding.py; experiments/fig9_strict_reproduction.py:1454,MATCH,HIGH,HIGH,HIGH,None
ENCODING,weekday columns,30,Section II-C and Fig. 3,5,30,src/seqmem/encoding.py; experiments/fig9_strict_reproduction.py:1454,MATCH,CRITICAL,HIGH,CRITICAL,None
ENCODING,time columns,58,Section II-C and Fig. 3,5,58,src/seqmem/encoding.py; experiments/fig9_strict_reproduction.py:1454,MATCH,CRITICAL,HIGH,CRITICAL,None
ENCODING,passenger columns,482,Section II-C and Fig. 3,5,482,src/seqmem/encoding.py; experiments/fig9_strict_reproduction.py:1454,MATCH,CRITICAL,HIGH,CRITICAL,None
ENCODING,total columns,570,Section II-C and Fig. 3,5,570,src/seqmem/encoding.py; experiments/fig9_strict_reproduction.py:1454,MATCH,CRITICAL,HIGH,CRITICAL,None
ENCODING,K per field,10,Section II-C and Fig. 3,5,10,src/seqmem/encoding.py; experiments/fig9_strict_reproduction.py:1454,MATCH,CRITICAL,HIGH,CRITICAL,None
ENCODING,record event count,30,Section II-C and Fig. 3,5,30,src/seqmem/encoding.py; experiments/fig9_strict_reproduction.py:1454,MATCH,HIGH,HIGH,HIGH,None
ENCODING,distinct event times per field,10,Section II-C and Fig. 3,5,10,src/seqmem/encoding.py; experiments/fig9_strict_reproduction.py:1454,MATCH,HIGH,HIGH,HIGH,None
ENCODING,spike order retained in code,True,Section II-C and Fig. 3,5,True,src/seqmem/encoding.py; experiments/fig9_strict_reproduction.py:1454,MATCH,CRITICAL,HIGH,CRITICAL,None
ENCODING,spike times first half-cycle,True,Section II-C and Fig. 3,5,0.0 through 0.5 inclusive,src/seqmem/encoding.py; experiments/fig9_strict_reproduction.py:1454,MATCH,HIGH,HIGH,HIGH,None
ENCODING,spike-time spacing,even,Section II-C and Fig. 3,5,0.5/(K-1),src/seqmem/encoding.py; experiments/fig9_strict_reproduction.py:1454,MATCH,HIGH,HIGH,HIGH,None
ENCODING,real center interval l,,Section II-C and Fig. 3,5,83.16008316008316,src/seqmem/encoding.py; experiments/fig9_strict_reproduction.py:1454,UNKNOWN,CRITICAL,HIGH,CRITICAL,Keep assumption explicit
ENCODING,real Gaussian sigma,,Section II-C and Fig. 3,5,83.16008316008316,src/seqmem/encoding.py; experiments/fig9_strict_reproduction.py:1454,UNKNOWN,CRITICAL,HIGH,CRITICAL,Keep assumption explicit
ENCODING,passenger minimum bound,,Section II-C and Fig. 3,5,0.0,src/seqmem/encoding.py; experiments/fig9_strict_reproduction.py:1454,UNKNOWN,HIGH,HIGH,HIGH,Keep assumption explicit
ENCODING,passenger maximum bound,,Section II-C and Fig. 3,5,40000.0,src/seqmem/encoding.py; experiments/fig9_strict_reproduction.py:1454,UNKNOWN,HIGH,HIGH,HIGH,Keep assumption explicit
ENCODING,482 derivation,,Section II-C and Fig. 3,5,hard-coded paper topology; spacing derived from 0..40000,src/seqmem/encoding.py; experiments/fig9_strict_reproduction.py:1454,UNKNOWN,HIGH,HIGH,HIGH,Keep assumption explicit
ENCODING,Gaussian response normalization,,Section II-C and Fig. 3,5,standard exp distance/sigma,src/seqmem/encoding.py; experiments/fig9_strict_reproduction.py:1454,UNKNOWN,MEDIUM,HIGH,MEDIUM,Keep assumption explicit
ENCODING,top-K ranking tie break,,Section II-C and Fig. 3,5,lower column index,src/seqmem/encoding.py; experiments/fig9_strict_reproduction.py:1454,UNKNOWN,LOW,HIGH,LOW,Keep assumption explicit
ENCODING,passenger clipping,,Section II-C and Fig. 3,5,clip to 0..40000,src/seqmem/encoding.py; experiments/fig9_strict_reproduction.py:1454,UNKNOWN,MEDIUM,HIGH,MEDIUM,Keep assumption explicit
ENCODING,weekday convention,day of week,Section II-C and Fig. 3,5,Python Monday=0,src/seqmem/encoding.py; experiments/fig9_strict_reproduction.py:1454,PARTIAL,MEDIUM,HIGH,MEDIUM,Keep assumption explicit
ENCODING,time unit,time of day,Section II-C and Fig. 3,5,half-hour slot 0..47,src/seqmem/encoding.py; experiments/fig9_strict_reproduction.py:1454,PARTIAL,MEDIUM,HIGH,MEDIUM,Keep assumption explicit
ENCODING,weekday circular boundary,minimum/maximum adjacent,Section II-C and Fig. 3,5,Sunday/Monday codes overlap,src/seqmem/encoding.py; experiments/fig9_strict_reproduction.py:1454,MATCH,HIGH,HIGH,HIGH,None
ENCODING,time circular boundary,minimum/maximum adjacent,Section II-C and Fig. 3,5,23:30/00:00 codes overlap,src/seqmem/encoding.py; experiments/fig9_strict_reproduction.py:1454,MATCH,HIGH,HIGH,HIGH,None
ENCODING,field column disjointness,three field populations,Section II-C and Fig. 3,5,offsets 0/30/88,src/seqmem/encoding.py; experiments/fig9_strict_reproduction.py:1454,MATCH,HIGH,HIGH,HIGH,None
ENCODING,encoding resolution,l/2,Section II-C and Fig. 3,5,41.58004158004158,src/seqmem/encoding.py; experiments/fig9_strict_reproduction.py:1454,PARTIAL,HIGH,HIGH,HIGH,Keep assumption explicit
ENCODING,same columns different order capacity,True,Section II-C and Fig. 3,5,True,src/seqmem/encoding.py; experiments/fig9_strict_reproduction.py:1454,MATCH,HIGH,HIGH,HIGH,None
NETWORK,neurons per column,32,"Eq. 1-3, Table I, Section III-A","4,8",32,src/seqmem/dynamics.py; src/seqmem/model.py:375,MATCH,CRITICAL,HIGH,CRITICAL,None
NETWORK,one-layer Fig9 topology,single memory layer implied,"Eq. 1-3, Table I, Section III-A","4,8",one SequentialMemory layer,src/seqmem/dynamics.py; src/seqmem/model.py:375,MATCH,HIGH,HIGH,HIGH,None
NETWORK,initial weight w0,0.5,"Eq. 1-3, Table I, Section III-A","4,8",0.5,src/seqmem/dynamics.py; src/seqmem/model.py:375,MATCH,HIGH,HIGH,HIGH,None
NETWORK,correct delta weight,0.1,"Eq. 1-3, Table I, Section III-A","4,8",0.1,src/seqmem/dynamics.py; src/seqmem/model.py:375,MATCH,HIGH,HIGH,HIGH,None
NETWORK,incorrect delta weight,0.01,"Eq. 1-3, Table I, Section III-A","4,8",0.01,src/seqmem/dynamics.py; src/seqmem/model.py:375,MATCH,HIGH,HIGH,HIGH,None
NETWORK,dendrite threshold,1.0,"Eq. 1-3, Table I, Section III-A","4,8",1.0,src/seqmem/dynamics.py; src/seqmem/model.py:375,MATCH,HIGH,HIGH,HIGH,None
NETWORK,soma threshold,1.0,"Eq. 1-3, Table I, Section III-A","4,8",1.0,src/seqmem/dynamics.py; src/seqmem/model.py:375,MATCH,HIGH,HIGH,HIGH,None
NETWORK,Vdep,0.5,"Eq. 1-3, Table I, Section III-A","4,8",0.5,src/seqmem/dynamics.py; src/seqmem/model.py:375,MATCH,HIGH,HIGH,HIGH,None
NETWORK,oscillation amplitude,0.5,"Eq. 1-3, Table I, Section III-A","4,8",0.5,src/seqmem/dynamics.py; src/seqmem/model.py:375,MATCH,HIGH,HIGH,HIGH,None
NETWORK,L_weight,10,"Eq. 1-3, Table I, Section III-A","4,8",10,src/seqmem/dynamics.py; src/seqmem/model.py:375,MATCH,HIGH,HIGH,HIGH,None
NETWORK,L_age,1,"Eq. 1-3, Table I, Section III-A","4,8",1,src/seqmem/dynamics.py; src/seqmem/model.py:375,MATCH,HIGH,HIGH,HIGH,None
NETWORK,L_match taxi,4,"Eq. 1-3, Table I, Section III-A","4,8",4,src/seqmem/dynamics.py; src/seqmem/model.py:375,MATCH,CRITICAL,HIGH,CRITICAL,None
NETWORK,forgetting threshold taxi,65,"Eq. 1-3, Table I, Section III-A","4,8",65,src/seqmem/dynamics.py; src/seqmem/model.py:375,MATCH,CRITICAL,HIGH,CRITICAL,None
NETWORK,tau_m,,"Eq. 1-3, Table I, Section III-A","4,8",0.1,src/seqmem/dynamics.py; src/seqmem/model.py:375,UNKNOWN,CRITICAL,HIGH,CRITICAL,Mechanism diagnostic only after protocol alignment
NETWORK,tau_s,,"Eq. 1-3, Table I, Section III-A","4,8",0.02,src/seqmem/dynamics.py; src/seqmem/model.py:375,UNKNOWN,CRITICAL,HIGH,CRITICAL,Mechanism diagnostic only after protocol alignment
NETWORK,response scale V0,,"Eq. 1-3, Table I, Section III-A","4,8",normalized kernel (None),src/seqmem/dynamics.py; src/seqmem/model.py:375,UNKNOWN,CRITICAL,HIGH,CRITICAL,Mechanism diagnostic only after protocol alignment
NETWORK,integration step,,"Eq. 1-3, Table I, Section III-A","4,8",0.005,src/seqmem/dynamics.py; src/seqmem/model.py:375,UNKNOWN,HIGH,HIGH,HIGH,Mechanism diagnostic only after protocol alignment
NETWORK,timing tolerance,,"Eq. 1-3, Table I, Section III-A","4,8",0.03,src/seqmem/dynamics.py; src/seqmem/model.py:375,UNKNOWN,HIGH,HIGH,HIGH,Mechanism diagnostic only after protocol alignment
NETWORK,cycle duration normalization,,"Eq. 1-3, Table I, Section III-A","4,8",1.0,src/seqmem/dynamics.py; src/seqmem/model.py:375,UNKNOWN,HIGH,HIGH,HIGH,Mechanism diagnostic only after protocol alignment
NETWORK,depolarization duration,half cycle,"Eq. 1-3, Table I, Section III-A","4,8",0.5,src/seqmem/dynamics.py; src/seqmem/model.py:375,MATCH,HIGH,HIGH,HIGH,None
NETWORK,refractory duration,rest of current cycle,"Eq. 1-3, Table I, Section III-A","4,8",one normalized cycle,src/seqmem/dynamics.py; src/seqmem/model.py:375,PARTIAL,MEDIUM,HIGH,MEDIUM,Mechanism diagnostic only after protocol alignment
NETWORK,dendrite reset after spike,True,"Eq. 1-3, Table I, Section III-A","4,8",first crossing modeled per prediction,src/seqmem/dynamics.py; src/seqmem/model.py:375,PARTIAL,HIGH,HIGH,HIGH,Mechanism diagnostic only after protocol alignment
NETWORK,intracolumn inhibition,winner suppresses same column,"Eq. 1-3, Table I, Section III-A","4,8",first-spike selection,src/seqmem/dynamics.py; src/seqmem/model.py:375,PARTIAL,CRITICAL,HIGH,CRITICAL,Mechanism diagnostic only after protocol alignment
NETWORK,intercolumn inhibition,selected input columns inhibit others,"Eq. 1-3, Table I, Section III-A","4,8",strict rollout competition off,src/seqmem/dynamics.py; src/seqmem/model.py:375,PARTIAL,CRITICAL,HIGH,CRITICAL,Mechanism diagnostic only after protocol alignment
NETWORK,proximal membrane integration,Eq. 3 component,"Eq. 1-3, Table I, Section III-A","4,8",external code handled algorithmically,src/seqmem/dynamics.py; src/seqmem/model.py:375,PARTIAL,HIGH,HIGH,HIGH,Mechanism diagnostic only after protocol alignment
NETWORK,apical input,general model component,"Eq. 1-3, Table I, Section III-A","4,8",not used in one-layer Fig9,src/seqmem/dynamics.py; src/seqmem/model.py:375,PARTIAL,LOW,HIGH,LOW,Mechanism diagnostic only after protocol alignment
NETWORK,continuous implementation,continuous DS dynamics,"Eq. 1-3, Table I, Section III-A","4,8",reference Python integrator,src/seqmem/dynamics.py; src/seqmem/model.py:375,PARTIAL,HIGH,HIGH,HIGH,Mechanism diagnostic only after protocol alignment
NETWORK,candidate threshold crossing,Vd >= threshold,"Eq. 1-3, Table I, Section III-A","4,8",grid first crossing,src/seqmem/dynamics.py; src/seqmem/model.py:375,PARTIAL,HIGH,HIGH,HIGH,Mechanism diagnostic only after protocol alignment
NETWORK,tie-break seed,,"Eq. 1-3, Table I, Section III-A","4,8",0,src/seqmem/dynamics.py; src/seqmem/model.py:375,UNKNOWN,LOW,HIGH,LOW,Mechanism diagnostic only after protocol alignment
LEARNING,empty initial network,True,Section II-D and III-B/D,"6,8,10",True,"src/seqmem/model.py:2031,3291",MATCH,HIGH,HIGH,HIGH,Keep strict defaults unchanged during audit
LEARNING,synapse weight state,True,Section II-D and III-B/D,"6,8,10",True,"src/seqmem/model.py:2031,3291",MATCH,HIGH,HIGH,HIGH,Keep strict defaults unchanged during audit
LEARNING,synapse delay state,True,Section II-D and III-B/D,"6,8,10",True,"src/seqmem/model.py:2031,3291",MATCH,HIGH,HIGH,HIGH,Keep strict defaults unchanged during audit
LEARNING,synapse age state,True,Section II-D and III-B/D,"6,8,10",True,"src/seqmem/model.py:2031,3291",MATCH,HIGH,HIGH,HIGH,Keep strict defaults unchanged during audit
LEARNING,delay immutable until deletion,True,Section II-D and III-B/D,"6,8,10",True,"src/seqmem/model.py:2031,3291",MATCH,HIGH,HIGH,HIGH,Keep strict defaults unchanged during audit
LEARNING,Scenario 1 predictive-cell gate,True,Section II-D and III-B/D,"6,8,10",True,"src/seqmem/model.py:2031,3291",MATCH,CRITICAL,HIGH,CRITICAL,Keep strict defaults unchanged during audit
LEARNING,Scenario 1 contributing strengthen,+delta,Section II-D and III-B/D,"6,8,10",+0.1,"src/seqmem/model.py:2031,3291",MATCH,HIGH,HIGH,HIGH,Keep strict defaults unchanged during audit
LEARNING,Scenario 1 contributing rejuvenate,age=0,Section II-D and III-B/D,"6,8,10",age=0,"src/seqmem/model.py:2031,3291",MATCH,HIGH,HIGH,HIGH,Keep strict defaults unchanged during audit
LEARNING,Scenario 1 noncontributing weaken,-delta,Section II-D and III-B/D,"6,8,10",-0.1,"src/seqmem/model.py:2031,3291",MATCH,HIGH,HIGH,HIGH,Keep strict defaults unchanged during audit
LEARNING,Scenario 1 noncontributing age,+1,Section II-D and III-B/D,"6,8,10",+1,"src/seqmem/model.py:2031,3291",MATCH,HIGH,HIGH,HIGH,Keep strict defaults unchanged during audit
LEARNING,Scenario 1 contribution definition,synapses causing predictive state,Section II-D and III-B/D,"6,8,10",arrival-window strict default,"src/seqmem/model.py:2031,3291",PARTIAL,CRITICAL,HIGH,CRITICAL,Keep strict defaults unchanged during audit
LEARNING,Scenario 2 no predictive neuron,True,Section II-D and III-B/D,"6,8,10",True,"src/seqmem/model.py:2031,3291",MATCH,HIGH,HIGH,HIGH,Keep strict defaults unchanged during audit
LEARNING,Scenario 2 L_match eligibility,active arrivals >= L_match,Section II-D and III-B/D,"6,8,10",timed overlap >= 4,"src/seqmem/model.py:2031,3291",PARTIAL,HIGH,HIGH,HIGH,Keep strict defaults unchanged during audit
LEARNING,Scenario 2 grow previous winners,True,Section II-D and III-B/D,"6,8,10",True,"src/seqmem/model.py:2031,3291",MATCH,HIGH,HIGH,HIGH,Keep strict defaults unchanged during audit
LEARNING,Scenario 3 new least-used neuron segment,True,Section II-D and III-B/D,"6,8,10",True,"src/seqmem/model.py:2031,3291",MATCH,HIGH,HIGH,HIGH,Keep strict defaults unchanged during audit
LEARNING,new segment source set,previous-cycle winners,Section II-D and III-B/D,"6,8,10",previous_winners,"src/seqmem/model.py:2031,3291",MATCH,HIGH,HIGH,HIGH,Keep strict defaults unchanged during audit
LEARNING,new delay equation,tj-ti-pi,Section II-D and III-B/D,"6,8,10",normalized half-cycle alignment,"src/seqmem/model.py:2031,3291",PARTIAL,HIGH,HIGH,HIGH,Keep strict defaults unchanged during audit
LEARNING,incorrect prediction decrement,-delta prime,Section II-D and III-B/D,"6,8,10",-0.01,"src/seqmem/model.py:2031,3291",MATCH,HIGH,HIGH,HIGH,Keep strict defaults unchanged during audit
LEARNING,incorrect prediction age,+1,Section II-D and III-B/D,"6,8,10",+1,"src/seqmem/model.py:2031,3291",MATCH,HIGH,HIGH,HIGH,Keep strict defaults unchanged during audit
LEARNING,forgetting formula,Lw(1-w)+La*age,Section II-D and III-B/D,"6,8,10",same,"src/seqmem/model.py:2031,3291",MATCH,CRITICAL,HIGH,CRITICAL,Keep strict defaults unchanged during audit
LEARNING,forget threshold comparison,reaches threshold,Section II-D and III-B/D,"6,8,10",delete when score >= threshold,"src/seqmem/model.py:2031,3291",MATCH,HIGH,HIGH,HIGH,Keep strict defaults unchanged during audit
LEARNING,burst active cells,all neurons share feedforward item before contextual selection,Section II-D and III-B/D,"6,8,10",all-cell active; one winner,"src/seqmem/model.py:2031,3291",PARTIAL,CRITICAL,HIGH,CRITICAL,Keep strict defaults unchanged during audit
LEARNING,winner tie break,,Section II-D and III-B/D,"6,8,10",seeded least-used tie break,"src/seqmem/model.py:2031,3291",UNKNOWN,MEDIUM,HIGH,MEDIUM,Keep strict defaults unchanged during audit
LEARNING,online one-pass learning,online no train/test switch,Section II-D and III-B/D,"6,8,10",one observe per record,"src/seqmem/model.py:2031,3291",MATCH,HIGH,HIGH,HIGH,Keep strict defaults unchanged during audit
LEARNING,learning during rollout,prediction without proximal input,Section II-D and III-B/D,"6,8,10",False,"src/seqmem/model.py:2031,3291",MATCH,CRITICAL,HIGH,CRITICAL,Keep strict defaults unchanged during audit
PREDICTION,target quantity,passenger count,Section II-E/F and Section III-D,"7,10",passenger decode,experiments/fig9_strict_reproduction.py:3394-3659,MATCH,CRITICAL,HIGH,CRITICAL,Fix only after isolated parity test and user approval
PREDICTION,horizon steps,5,Section II-E/F and Section III-D,"7,10",5,experiments/fig9_strict_reproduction.py:3394-3659,MATCH,CRITICAL,HIGH,CRITICAL,Fix only after isolated parity test and user approval
PREDICTION,horizon wall time,2.5 hours,Section II-E/F and Section III-D,"7,10",reported input to target is 2.5 hours,experiments/fig9_strict_reproduction.py:3394-3659,MATCH,CRITICAL,HIGH,CRITICAL,Fix only after isolated parity test and user approval
PREDICTION,prediction state anchor,historical data through current anchor implied,Section II-E/F and Section III-D,"7,10",state ends at anchor-1,experiments/fig9_strict_reproduction.py:3394-3659,MISMATCH,CRITICAL,HIGH,CRITICAL,Fix only after isolated parity test and user approval
PREDICTION,step1 causal meaning,next record after anchor,Section II-E/F and Section III-D,"7,10",current unobserved record,experiments/fig9_strict_reproduction.py:3394-3659,MISMATCH,CRITICAL,HIGH,CRITICAL,Fix only after isolated parity test and user approval
PREDICTION,step5 causal index,anchor+5,Section II-E/F and Section III-D,"7,10",raw step5 corresponds to anchor+4,experiments/fig9_strict_reproduction.py:3394-3659,MISMATCH,CRITICAL,HIGH,CRITICAL,Fix only after isolated parity test and user approval
PREDICTION,compared target index,anchor+5,Section II-E/F and Section III-D,"7,10",anchor+5,experiments/fig9_strict_reproduction.py:3394-3659,MATCH,CRITICAL,HIGH,CRITICAL,Fix only after isolated parity test and user approval
PREDICTION,last observed to target duration,2.5 hours expected,Section II-E/F and Section III-D,"7,10",3.0 hours,experiments/fig9_strict_reproduction.py:3394-3659,MISMATCH,CRITICAL,HIGH,CRITICAL,Fix only after isolated parity test and user approval
PREDICTION,autonomous retrieval,method implies predictive spikes propagate,Section II-E/F and Section III-D,"7,10",raw predict/advance,experiments/fig9_strict_reproduction.py:3394-3659,MATCH,CRITICAL,HIGH,CRITICAL,Fix only after isolated parity test and user approval
PREDICTION,exact five-cycle mapping,,Section II-E/F and Section III-D,"7,10",five autonomous cycles,experiments/fig9_strict_reproduction.py:3394-3659,UNKNOWN,HIGH,HIGH,HIGH,Fix only after isolated parity test and user approval
PREDICTION,decoded proximal replay,not part of contextual retrieval,Section II-E/F and Section III-D,"7,10",False,experiments/fig9_strict_reproduction.py:3394-3659,MATCH,CRITICAL,HIGH,CRITICAL,Fix only after isolated parity test and user approval
PREDICTION,future covariates,,Section II-E/F and Section III-D,"7,10",False,experiments/fig9_strict_reproduction.py:3394-3659,UNKNOWN,MEDIUM,HIGH,MEDIUM,Fix only after isolated parity test and user approval
PREDICTION,transient state restoration,,Section II-E/F and Section III-D,"7,10",True,experiments/fig9_strict_reproduction.py:3394-3659,UNKNOWN,MEDIUM,HIGH,MEDIUM,Fix only after isolated parity test and user approval
PREDICTION,final readout step,five steps in advance,Section II-E/F and Section III-D,"7,10",only final rollout code,experiments/fig9_strict_reproduction.py:3394-3659,MATCH,HIGH,HIGH,HIGH,Fix only after isolated parity test and user approval
PREDICTION,step1-5 mean used,not specified,Section II-E/F and Section III-D,"7,10",False,experiments/fig9_strict_reproduction.py:3394-3659,PARTIAL,MEDIUM,HIGH,MEDIUM,Fix only after isolated parity test and user approval
PREDICTION,no prediction handling,,Section II-E/F and Section III-D,"7,10",excluded from target/prediction MAPE; coverage separate,experiments/fig9_strict_reproduction.py:3394-3659,UNKNOWN,HIGH,HIGH,HIGH,Fix only after isolated parity test and user approval
DECODING,paper numerical decoder equation,,Section III-D; decoder details omitted,10,custom likelihood codebook,src/seqmem/encoding.py:142,UNKNOWN,CRITICAL,HIGH,CRITICAL,Contact authors or run controlled codebook parity test
DECODING,most-likely criterion,most likely prediction,Section III-D; decoder details omitted,10,max timed then column overlap,src/seqmem/encoding.py:142,PARTIAL,HIGH,HIGH,HIGH,Contact authors or run controlled codebook parity test
DECODING,spike order used,True,Section III-D; decoder details omitted,10,timed overlap uses event times,src/seqmem/encoding.py:142,MATCH,CRITICAL,HIGH,CRITICAL,Contact authors or run controlled codebook parity test
DECODING,column set used,True,Section III-D; decoder details omitted,10,secondary column overlap,src/seqmem/encoding.py:142,MATCH,HIGH,HIGH,HIGH,Contact authors or run controlled codebook parity test
DECODING,timing tolerance,,Section III-D; decoder details omitted,10,0.03,src/seqmem/encoding.py:142,UNKNOWN,HIGH,HIGH,HIGH,Contact authors or run controlled codebook parity test
DECODING,candidate grid,,Section III-D; decoder details omitted,10,half-spacing 963 values,src/seqmem/encoding.py:142,UNKNOWN,HIGH,HIGH,HIGH,Contact authors or run controlled codebook parity test
DECODING,unique legal code count,,Section III-D; decoder details omitted,10,940,src/seqmem/encoding.py:142,UNKNOWN,MEDIUM,HIGH,MEDIUM,Contact authors or run controlled codebook parity test
DECODING,tie handling,,Section III-D; decoder details omitted,10,mean all tied candidate values,src/seqmem/encoding.py:142,UNKNOWN,HIGH,HIGH,HIGH,Contact authors or run controlled codebook parity test
DECODING,perfect-code roundtrip WAPE,,Section III-D; decoder details omitted,10,0.0014126706909136887,src/seqmem/encoding.py:142,UNKNOWN,LOW,HIGH,LOW,Contact authors or run controlled codebook parity test
DECODING,perfect-code roundtrip MAE,,Section III-D; decoder details omitted,10,21.296961476756007,src/seqmem/encoding.py:142,UNKNOWN,LOW,HIGH,LOW,Contact authors or run controlled codebook parity test
DECODING,perfect-code max error,,Section III-D; decoder details omitted,10,83.04573804573738,src/seqmem/encoding.py:142,UNKNOWN,LOW,HIGH,LOW,Contact authors or run controlled codebook parity test
DECODING,decoder lower-bound implication,,Section III-D; decoder details omitted,10,far below observed 0.4-0.6 error,src/seqmem/encoding.py:142,PARTIAL,LOW,HIGH,LOW,Contact authors or run controlled codebook parity test
DECODING,ground truth used by decoder,False,Section III-D; decoder details omitted,10,False,src/seqmem/encoding.py:142,MATCH,CRITICAL,HIGH,CRITICAL,Contact authors or run controlled codebook parity test
EVALUATION,metric label,MAPE,Section III-D and Fig. 9; details omitted unless [58],10,MAPE,experiments/fig9/metrics.py; experiments/fig9_strict_reproduction.py:3394,MATCH,HIGH,HIGH,HIGH,Do not compare short diagnostic MAPE as full paper reproduction
